id,panel.id,year,state,Y,res.share,edu,pop.dense
1,2,1990,Wisconsin,21.96666718,NA,21.5,NA
2,2,1991,Wisconsin,21.44999949,0.253406048,24.10000038,NA
3,2,1992,Wisconsin,21.23333359,0.251252145,23.79999924,NA
4,2,1993,Wisconsin,21.33333333,0.248904809,21.60000038,NA
5,2,1994,Wisconsin,20.51666641,0.246286511,23.89999962,85.02499819
6,2,1995,Wisconsin,20.96666718,0.243409932,22.89999962,85.97500181
7,2,1996,Wisconsin,21,0.240902141,21.29999924,88.82500362
8,2,1997,Wisconsin,20.38333384,0.236825347,21.79999924,90.25
9,2,1998,Wisconsin,20.25,0.231578693,21.60000038,89.77499819
10,2,1999,Wisconsin,19.71666718,0.225992814,18.29999924,90.25
11,2,2000,Wisconsin,18.84999975,0.253406048,19.60000038,94.52499819
12,2,2001,Wisconsin,19.46666718,0.251252145,17.29999924,94.52499819
13,2,2002,Wisconsin,21,0.231578693,17.39999962,95
14,2,2003,Wisconsin,18.96666718,0.248904809,20,93.57500362
15,2,2004,Wisconsin,18.13333384,0.243409932,15.30000019,93.57500362
16,2,2005,Wisconsin,18.83333333,0.243409932,14.89999962,92.625
17,2,2006,Wisconsin,18.44999949,0.251252145,17.20000076,95.47500181
18,2,2007,Wisconsin,18.11666616,0.225992814,19.70000076,94.04999638
19,2,2008,Wisconsin,18.25,0.248904809,NA,NA
20,2,2009,Wisconsin,17.46666718,0.253406048,NA,NA
21,2,2010,Wisconsin,16.56666692,0.253406048,NA,NA
22,7,1990,California,22.33333333,NA,13.89999962,NA
23,7,1991,California,21.94999949,0.27767089,16.29999924,NA
24,7,1992,California,21.86666616,0.275563985,19.60000038,NA
25,7,1993,California,21.43333435,0.272897393,18.79999924,NA
26,7,1994,California,21.05000051,0.27046898,16.89999962,101.1749964
27,7,1995,California,21.46666718,0.268077493,17.70000076,101.6499982
28,7,1996,California,21.5,0.266121984,14.60000038,104.9750018
29,7,1997,California,21.55000051,0.262238562,14.60000038,105.9249964
30,7,1998,California,20.68333308,0.257899672,14,103.0750036
31,7,1999,California,19.51666641,0.252771795,15,102.125
32,7,2000,California,18.96666718,0.272897393,15.80000019,105.9249964
33,7,2001,California,19.16666667,0.266121984,17.20000076,100.7000036
34,7,2002,California,20.31666667,0.27046898,17.79999924,102.6000018
35,7,2003,California,20.91666667,0.275563985,13.5,103.0750036
36,7,2004,California,21.16666667,0.257899672,14,101.6499982
37,7,2005,California,22,0.27767089,12.10000038,102.125
38,7,2006,California,22.25,0.27046898,14.80000019,104.5
39,7,2007,California,16.76666641,0.272897393,14.5,102.6000018
40,7,2008,California,16.75,0.27767089,NA,NA
41,7,2009,California,16.18333308,0.272897393,NA,NA
42,7,2010,California,14.73333359,0.275563985,NA,NA
43,13,1990,Idaho,35.88333384,NA,19.29999924,NA
44,13,1991,Idaho,34.94999949,0.272990584,19.29999924,NA
45,13,1992,Idaho,35.10000102,0.26984778,16.20000076,NA
46,13,1993,Idaho,33.51666768,0.266494453,18,NA
47,13,1994,Idaho,30.53333282,0.262247235,19.10000038,87.875
48,13,1995,Idaho,30.39999898,0.258707345,19.39999962,89.77499819
49,13,1996,Idaho,29.96666718,0.255476594,17.70000076,91.20000362
50,13,1997,Idaho,28.53333282,0.250877053,17.29999924,90.25
51,13,1998,Idaho,28.86666616,0.245451659,17.60000038,90.72500181
52,13,1999,Idaho,28.60000102,0.239182964,16.10000038,86.92499638
53,13,2000,Idaho,30.41666667,0.258707345,17.29999924,95.47500181
54,13,2001,Idaho,28.39999898,0.250877053,18.79999924,92.14999819
55,13,2002,Idaho,27.93333435,0.266494453,19.70000076,90.25
56,13,2003,Idaho,27.93333435,0.262247235,20.39999962,91.67499638
57,13,2004,Idaho,28.35000102,0.239182964,18.5,93.10000181
58,13,2005,Idaho,29.21666718,0.258707345,14.69999981,89.77499819
59,13,2006,Idaho,29.83333333,0.272990584,17,90.72500181
60,13,2007,Idaho,31.13333384,0.258707345,15.89999962,91.67499638
61,13,2008,Idaho,28.55000051,0.245451659,NA,NA
62,13,2009,Idaho,27.55000051,0.250877053,NA,NA
63,13,2010,Idaho,26.03333282,0.266494453,NA,NA
64,17,1990,Washington,21.16666667,NA,24.29999924,NA
65,17,1991,Washington,20.88333384,0.272936732,25.70000076,NA
66,17,1992,Washington,20.96666718,0.27099818,22.89999962,NA
67,17,1993,Washington,20.38333384,0.268360943,26.89999962,NA
68,17,1994,Washington,19.40000025,0.265690863,25.10000038,95.47500181
69,17,1995,Washington,19.21666718,0.262517631,25.10000038,97.85000181
70,17,1996,Washington,18.86666616,0.260282844,26.60000038,102.125
71,17,1997,Washington,18.33333333,0.256220371,25,102.6000018
72,17,1998,Washington,18.16666667,0.251167178,27.20000076,104.0249982
73,17,1999,Washington,18.05000051,0.245215371,22,102.6000018
74,17,2000,Washington,16.96666718,0.251167178,25.70000076,110.6749964
75,17,2001,Washington,17.59999975,0.245215371,23.70000076,108.7749982
76,17,2002,Washington,17.31666692,0.245215371,24.5,111.625
77,17,2003,Washington,17.56666692,0.272936732,24.70000076,113.5249982
78,17,2004,Washington,17.66666667,0.272936732,19.89999962,116.375
79,17,2005,Washington,17.91666667,0.265690863,23.5,114
80,17,2006,Washington,17.81666692,0.260282844,20.60000038,115.4249964
81,17,2007,Washington,17.71666718,0.262517631,16.70000076,115.8999982
82,17,2008,Washington,17.83333333,0.272936732,NA,NA
83,17,2009,Washington,17.31666692,0.262517631,NA,NA
84,17,2010,Washington,16.19999949,0.27099818,NA,NA
85,29,1990,Oregon,24.88333384,NA,10.69999981,NA
86,29,1991,Oregon,25.19999949,0.272726327,11.69999981,NA
87,29,1992,Oregon,24.38333384,0.272734314,13.30000019,NA
88,29,1993,Oregon,22.63333384,0.27200684,14.80000019,NA
89,29,1994,Oregon,22.81666565,0.271018088,12.80000019,119.2250018
90,29,1995,Oregon,22.23333232,0.269567639,9,122.0750036
91,29,1996,Oregon,22.71666718,0.26703918,9.100000381,123.5
92,29,1997,Oregon,20.73333359,0.262333661,8.100000381,121.6000018
93,29,1998,Oregon,23,0.255909652,9.800000191,120.1749964
94,29,1999,Oregon,20.13333384,0.248007849,6.699999809,117.7999964
95,29,2000,Oregon,16.90000025,0.272726327,7.5,114
96,29,2001,Oregon,17.26666641,0.262333661,10.39999962,115.4249964
97,29,2002,Oregon,16.68333308,0.26703918,12,108.2999964
98,29,2003,Oregon,15.68333308,0.269567639,11.19999981,105.9249964
99,29,2004,Oregon,15.31666692,0.26703918,10.30000019,107.3500018
100,29,2005,Oregon,15.13333384,0.248007849,10.60000038,105.4500036
101,29,2006,Oregon,14.58333333,0.26703918,11,103.0750036
102,29,2007,Oregon,15,0.272734314,12.70000076,108.7749982
103,29,2008,Oregon,14.78333282,0.248007849,NA,NA
104,29,2009,Oregon,14.48333359,0.248007849,NA,NA
105,29,2010,Oregon,13.84999975,0.262333661,NA,NA
106,32,1990,Arizona,21.73333232,NA,19.60000038,NA
107,32,1991,Arizona,21.51666768,0.268439651,20.89999962,NA
108,32,1992,Arizona,21.89999898,0.265627325,23.60000038,NA
109,32,1993,Arizona,21.5,0.262396634,20.10000038,NA
110,32,1994,Arizona,20.84999975,0.259075999,17.39999962,93.57500362
111,32,1995,Arizona,21.44999949,0.256338835,18.10000038,94.04999638
112,32,1996,Arizona,21.5,0.253436983,18.29999924,99.27499819
113,32,1997,Arizona,21.76666768,0.249350354,16.89999962,99.75
114,32,1998,Arizona,20.88333384,0.24390389,18,102.125
115,32,1999,Arizona,20.78333282,0.238012373,18.39999962,100.2250018
116,32,2000,Arizona,20.30000051,0.262396634,16.89999962,104.0249982
117,32,2001,Arizona,20.09999975,0.268439651,15.5,101.6499982
118,32,2002,Arizona,20.16666667,0.249350354,17,103.0750036
119,32,2003,Arizona,20.13333384,0.249350354,19.60000038,102.6000018
120,32,2004,Arizona,19.80000051,0.249350354,14.60000038,102.125
121,32,2005,Arizona,20.90000025,0.249350354,15.5,101.6499982
122,32,2006,Arizona,19.86666616,0.262396634,15.89999962,102.125
123,32,2007,Arizona,19.81666692,0.253436983,14.30000114,101.1749964
124,32,2008,Arizona,19.94999949,0.256338835,NA,NA
125,32,2009,Arizona,19.26666641,0.253436983,NA,NA
126,32,2010,Arizona,18.11666616,0.268439651,NA,NA
127,36,1990,Minnesota,24.81666565,NA,12.39999962,NA
128,36,1991,Minnesota,24.98333232,0.283101857,12.60000038,NA
129,36,1992,Minnesota,24.56666565,0.280194849,12.5,NA
130,36,1993,Minnesota,24.11666616,0.277485758,11.39999962,NA
131,36,1994,Minnesota,22.80000051,0.27487269,10,106.3999982
132,36,1995,Minnesota,22.43333435,0.271423608,10,106.3999982
133,36,1996,Minnesota,22.63333384,0.269063503,9.699999809,111.1499982
134,36,1997,Minnesota,22.16666667,0.264776796,9.899999619,111.625
135,36,1998,Minnesota,21.58333333,0.258712709,10.80000019,110.6749964
136,36,1999,Minnesota,20.41666667,0.252490461,10.89999962,112.1000018
137,36,2000,Minnesota,19.81666692,0.271423608,11.10000038,114
138,36,2001,Minnesota,18.18333308,0.269063503,9.899999619,109.25
139,36,2002,Minnesota,18.03333282,0.277485758,9.399999619,106.875
140,36,2003,Minnesota,17.56666692,0.277485758,9.699999809,105.4500036
141,36,2004,Minnesota,17.69999949,0.280194849,10.69999981,103.0750036
142,36,2005,Minnesota,17.78333282,0.283101857,10.19999981,98.32500362
143,36,2006,Minnesota,17.43333308,0.280194849,12.30000019,97.85000181
144,36,2007,Minnesota,18,0.269063503,12.70000076,97.375
145,36,2008,Minnesota,17.59999975,0.269063503,NA,NA
146,36,2009,Minnesota,17.01666641,0.252490461,NA,NA
147,36,2010,Minnesota,16.11666616,0.283101857,NA,NA
148,38,1990,Illinois,19.59999975,NA,8.5,NA
149,38,1991,Illinois,19.98333359,0.277973622,8.100000381,NA
150,38,1992,Illinois,19.26666641,0.274430215,9.5,NA
151,38,1993,Illinois,17.71666718,0.270292073,10.60000038,NA
152,38,1994,Illinois,17.59999975,0.265795916,15.5,156.2750072
153,38,1995,Illinois,17.83333333,0.261140645,11.60000038,152.4749928
154,38,1996,Illinois,17.56666692,0.256240696,10.69999981,155.3250036
155,38,1997,Illinois,17.66666667,0.249126777,9,149.625
156,38,1998,Illinois,17.09999975,0.241624072,7.800000191,147.25
157,38,1999,Illinois,16.71666718,0.233173057,8.399999619,143.4500036
158,38,2000,Illinois,15.66666667,0.241624072,9.300000191,144.875
159,38,2001,Illinois,15.91666667,0.261140645,9.899999619,137.75
160,38,2002,Illinois,16.03333282,0.256240696,10.80000019,133.4750018
161,38,2003,Illinois,15.19999949,0.274430215,12.60000038,134.4249964
162,38,2004,Illinois,15.30000051,0.270292073,9,134.4249964
163,38,2005,Illinois,15.58333333,0.274430215,8.5,133
164,38,2006,Illinois,15.34999975,0.249126777,8.800000191,131.1000018
165,38,2007,Illinois,15.31666692,0.265795916,8.199999809,135.8500018
166,38,2008,Illinois,14.78333282,0.256240696,NA,NA
167,38,2009,Illinois,14.06666692,0.274430215,NA,NA
168,38,2010,Illinois,13.34999975,0.277973622,NA,NA
