advertID,datestring,impressions,clicks,clickthroughrate,lagClickThrough,bidprice,adrank,conversions,conversionrate,numberofwords,retailer,brandname,adQuality,landQuality,revenue,logrank,logprice,logadQuality,logaLPQuality
4616,1/9/2012,9,1,0.11,,0,10,1,1,4,0,0,9.899999619,10,15.99,2.397895336,0,2.388762712,2.302585125
6511,1/9/2012,1,0,0,,0,4,0,0,3,0,0,1,8.495973587,0,1.609437943,0,0.693147182,2.139592409
6687,1/2/2012,0,0,0,,0,10,0,0,1,0,0,1,4.951869965,0,2.397895336,0,0.693147182,1.599765301
6687,1/2/2012,0,0,0,0,0,10,0,0,1,0,0,1,4.951869965,0,2.397895336,0,0.693147182,1.599765301
6687,1/2/2012,0,0,0,0,0,10,0,0,1,0,0,1,4.951869965,0,2.397895336,0,0.693147182,1.599765301
6687,1/2/2012,0,0,0,0,0,10,0,0,1,0,0,1,4.951869965,0,2.397895336,0,0.693147182,1.599765301
6687,1/2/2012,0,0,0,0,0,10,0,0,1,0,0,1,4.951869965,0,2.397895336,0,0.693147182,1.599765301
6687,1/2/2012,0,0,0,0,0,10,0,0,1,0,0,1,4.951869965,0,2.397895336,0,0.693147182,1.599765301
6687,1/2/2012,0,0,0,0,0,10,0,0,1,0,0,1,4.951869965,0,2.397895336,0,0.693147182,1.599765301
6687,1/2/2012,0,0,0,0,0,10,0,0,1,0,0,1,4.951869965,0,2.397895336,0,0.693147182,1.599765301
6687,1/2/2012,0,0,0,0,0,10,0,0,1,0,0,1,4.951869965,0,2.397895336,0,0.693147182,1.599765301
6687,1/2/2012,0,0,0,0,0,10,0,0,1,0,0,1,4.951869965,0,2.397895336,0,0.693147182,1.599765301
6687,1/2/2012,0,0,0,0,0,10,0,0,1,0,0,1,4.951869965,0,2.397895336,0,0.693147182,1.599765301
6687,1/2/2012,0,0,0,0,0,10,0,0,1,0,0,1,4.951869965,0,2.397895336,0,0.693147182,1.599765301
6783,1/2/2012,12,1,0.0833333,,0,22,0,0,2,0,0,2.916665316,1,0,3.135494232,0,1.365240574,0
6783,1/2/2012,12,1,0.0833333,0.083333299,0,22,0,0,2,0,0,2.916665316,1,0,3.135494232,0,1.365240574,0
6783,1/9/2012,5,0,0,0.083333299,0,25,0,0,2,0,0,2.916665316,1,0,3.258096457,0,1.365240574,0
6783,1/9/2012,5,0,0,0,0,25,0,0,2,0,0,2.916665316,1,0,3.258096457,0,1.365240574,0
7153,1/9/2012,61,0,0,,0,18,0,0,2,0,0,1,1,0,2.944438934,0,0.693147182,0
52897,1/2/2012,240,3,0.0125,,0.3333333,6,0,0,3,0,1,1,8.596973419,0,1.945910096,0.287682056,0.693147182,2.151410103
52897,1/9/2012,145,1,0.0068966,0.0125,0,4,1,1,3,0,1,1,8.596973419,23.99,1.609437943,0,0.693147182,2.151410103
554199,1/2/2012,109091,1200,0.011,,0,2,24,0.02,1,0,1,10,10,1195.85,1.098612309,0,2.397895336,2.302585125
554199,1/2/2012,109091,1200,0.011,0.011,0,2,24,0.02,1,0,1,10,10,1195.85,1.098612309,0,2.397895336,2.302585125
554199,1/2/2012,109091,1200,0.011,0.011,0,2,24,0.02,1,0,1,10,10,1195.85,1.098612309,0,2.397895336,2.302585125
554199,1/2/2012,109091,1200,0.011,0.011,0,2,24,0.02,1,0,1,10,10,1195.85,1.098612309,0,2.397895336,2.302585125
554199,1/2/2012,109091,1200,0.011,0.011,0,2,24,0.02,1,0,1,10,10,1195.85,1.098612309,0,2.397895336,2.302585125
554199,1/9/2012,13750,550,0.04,0.011,0,4,11,0.02,1,0,1,10,10,845.1,1.609437943,0,2.397895336,2.302585125
554199,1/9/2012,13750,550,0.04,0.039999999,0,4,11,0.02,1,0,1,10,10,845.1,1.609437943,0,2.397895336,2.302585125
554199,1/9/2012,13750,550,0.04,0.039999999,0,4,11,0.02,1,0,1,10,10,845.1,1.609437943,0,2.397895336,2.302585125
554199,1/16/2012,2691,135,0.05,0.039999999,0,4,2,0.01487,1,0,1,10,10,85.04,1.609437943,0,2.397895336,2.302585125
554199,1/16/2012,2691,135,0.05,0.050000001,0,4,2,0.01487,1,0,1,10,10,85.04,1.609437943,0,2.397895336,2.302585125
554199,1/16/2012,2691,135,0.05,0.050000001,0,4,2,0.01487,1,0,1,10,10,85.04,1.609437943,0,2.397895336,2.302585125
554199,1/16/2012,2691,135,0.05,0.050000001,0,4,2,0.01487,1,0,1,10,10,85.04,1.609437943,0,2.397895336,2.302585125
554199,3/12/2012,102,36,0.3529412,0.050000001,0.0277778,1,0,0,1,0,1,10,10,0,0.693147182,0.027398996,2.397895336,2.302585125
554199,3/12/2012,102,36,0.3529412,0.352941185,0.0277778,1,0,0,1,0,1,10,10,0,0.693147182,0.027398996,2.397895336,2.302585125
554199,3/12/2012,102,36,0.3529412,0.352941185,0.0277778,1,0,0,1,0,1,10,10,0,0.693147182,0.027398996,2.397895336,2.302585125
554199,3/12/2012,102,36,0.3529412,0.352941185,0.0277778,1,0,0,1,0,1,10,10,0,0.693147182,0.027398996,2.397895336,2.302585125
554199,3/12/2012,102,36,0.3529412,0.352941185,0.0277778,1,0,0,1,0,1,10,10,0,0.693147182,0.027398996,2.397895336,2.302585125
554199,3/12/2012,102,36,0.3529412,0.352941185,0.0277778,1,0,0,1,0,1,10,10,0,0.693147182,0.027398996,2.397895336,2.302585125
554199,3/12/2012,102,36,0.3529412,0.352941185,0.0277778,1,0,0,1,0,1,10,10,0,0.693147182,0.027398996,2.397895336,2.302585125
554199,3/12/2012,102,36,0.3529412,0.352941185,0.0277778,1,0,0,1,0,1,10,10,0,0.693147182,0.027398996,2.397895336,2.302585125
554199,3/12/2012,102,36,0.3529412,0.352941185,0.0277778,1,0,0,1,0,1,10,10,0,0.693147182,0.027398996,2.397895336,2.302585125
554199,3/12/2012,102,36,0.3529412,0.352941185,0.0277778,1,0,0,1,0,1,10,10,0,0.693147182,0.027398996,2.397895336,2.302585125
554199,3/12/2012,102,36,0.3529412,0.352941185,0.0277778,1,0,0,1,0,1,10,10,0,0.693147182,0.027398996,2.397895336,2.302585125
554199,3/12/2012,102,36,0.3529412,0.352941185,0.0277778,1,0,0,1,0,1,10,10,0,0.693147182,0.027398996,2.397895336,2.302585125
554199,3/12/2012,102,36,0.3529412,0.352941185,0.0277778,1,0,0,1,0,1,10,10,0,0.693147182,0.027398996,2.397895336,2.302585125
554199,3/12/2012,102,36,0.3529412,0.352941185,0.0277778,1,0,0,1,0,1,10,10,0,0.693147182,0.027398996,2.397895336,2.302585125
554199,3/12/2012,102,36,0.3529412,0.352941185,0.0277778,1,0,0,1,0,1,10,10,0,0.693147182,0.027398996,2.397895336,2.302585125
554199,3/12/2012,102,36,0.3529412,0.352941185,0.0277778,1,0,0,1,0,1,10,10,0,0.693147182,0.027398996,2.397895336,2.302585125
554199,3/12/2012,102,36,0.3529412,0.352941185,0.0277778,1,0,0,1,0,1,10,10,0,0.693147182,0.027398996,2.397895336,2.302585125
554199,3/12/2012,102,36,0.3529412,0.352941185,0.0277778,1,0,0,1,0,1,10,10,0,0.693147182,0.027398996,2.397895336,2.302585125
554199,3/12/2012,102,36,0.3529412,0.352941185,0.0277778,1,0,0,1,0,1,10,10,0,0.693147182,0.027398996,2.397895336,2.302585125
554199,3/12/2012,102,36,0.3529412,0.352941185,0.0277778,1,0,0,1,0,1,10,10,0,0.693147182,0.027398996,2.397895336,2.302585125
554199,3/12/2012,102,36,0.3529412,0.352941185,0.0277778,1,0,0,1,0,1,10,10,0,0.693147182,0.027398996,2.397895336,2.302585125
554199,3/12/2012,102,36,0.3529412,0.352941185,0.0277778,1,0,0,1,0,1,10,10,0,0.693147182,0.027398996,2.397895336,2.302585125
554199,3/12/2012,102,36,0.3529412,0.352941185,0.0277778,1,0,0,1,0,1,10,10,0,0.693147182,0.027398996,2.397895336,2.302585125
554199,3/19/2012,102,36,0.3529412,0.352941185,0.0277778,1,0,0,1,0,1,10,10,0,0.693147182,0.027398996,2.397895336,2.302585125
554199,3/19/2012,102,36,0.3529412,0.352941185,0.0277778,1,0,0,1,0,1,10,10,0,0.693147182,0.027398996,2.397895336,2.302585125
554199,3/19/2012,102,36,0.3529412,0.352941185,0.0277778,1,0,0,1,0,1,10,10,0,0.693147182,0.027398996,2.397895336,2.302585125
554199,3/19/2012,102,36,0.3529412,0.352941185,0.0277778,1,0,0,1,0,1,10,10,0,0.693147182,0.027398996,2.397895336,2.302585125
554199,3/19/2012,102,36,0.3529412,0.352941185,0.0277778,1,0,0,1,0,1,10,10,0,0.693147182,0.027398996,2.397895336,2.302585125
554199,3/19/2012,102,36,0.3529412,0.352941185,0.0277778,1,0,0,1,0,1,10,10,0,0.693147182,0.027398996,2.397895336,2.302585125
554199,3/19/2012,102,36,0.3529412,0.352941185,0.0277778,1,0,0,1,0,1,10,10,0,0.693147182,0.027398996,2.397895336,2.302585125
554199,3/19/2012,102,36,0.3529412,0.352941185,0.0277778,1,0,0,1,0,1,10,10,0,0.693147182,0.027398996,2.397895336,2.302585125
554199,3/19/2012,102,36,0.3529412,0.352941185,0.0277778,1,0,0,1,0,1,10,10,0,0.693147182,0.027398996,2.397895336,2.302585125
554199,3/19/2012,102,36,0.3529412,0.352941185,0.0277778,1,0,0,1,0,1,10,10,0,0.693147182,0.027398996,2.397895336,2.302585125
554199,3/19/2012,102,36,0.3529412,0.352941185,0.0277778,1,0,0,1,0,1,10,10,0,0.693147182,0.027398996,2.397895336,2.302585125
554199,3/19/2012,102,36,0.3529412,0.352941185,0.0277778,1,0,0,1,0,1,10,10,0,0.693147182,0.027398996,2.397895336,2.302585125
554199,3/19/2012,102,36,0.3529412,0.352941185,0.0277778,1,0,0,1,0,1,10,10,0,0.693147182,0.027398996,2.397895336,2.302585125
554199,3/19/2012,102,36,0.3529412,0.352941185,0.0277778,1,0,0,1,0,1,10,10,0,0.693147182,0.027398996,2.397895336,2.302585125
554199,3/19/2012,102,36,0.3529412,0.352941185,0.0277778,1,0,0,1,0,1,10,10,0,0.693147182,0.027398996,2.397895336,2.302585125
554199,3/19/2012,102,36,0.3529412,0.352941185,0.0277778,1,0,0,1,0,1,10,10,0,0.693147182,0.027398996,2.397895336,2.302585125
554199,3/19/2012,102,36,0.3529412,0.352941185,0.0277778,1,0,0,1,0,1,10,10,0,0.693147182,0.027398996,2.397895336,2.302585125
554199,3/19/2012,102,36,0.3529412,0.352941185,0.0277778,1,0,0,1,0,1,10,10,0,0.693147182,0.027398996,2.397895336,2.302585125
554199,3/19/2012,102,36,0.3529412,0.352941185,0.0277778,1,0,0,1,0,1,10,10,0,0.693147182,0.027398996,2.397895336,2.302585125
